Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
316,3.28125,00:34:41.21:00,932.539,965.0965,115.9995
317,3.29167,00:34:41.21:01,932.6515,965.048,115.98200000000001
318,3.30208,00:34:41.21:02,932.7425,964.995,115.958
319,3.3125,00:34:41.21:03,932.85,964.949,115.928
320,3.32292,00:34:41.22:00,932.9765,964.9085,115.8855
321,3.33333,00:34:41.22:01,933.0565,964.8625,115.8455
322,3.34375,00:34:41.22:02,933.1725,964.847,115.81
323,3.35417,00:34:41.22:03,933.257,964.8345,115.771
324,3.36458,00:34:41.23:00,933.365,964.8330000000001,115.74799999999999
325,3.375,00:34:41.23:01,933.3945,964.831,115.72399999999999
326,3.38542,00:34:41.23:02,933.4875,964.84,115.725
327,3.39583,00:34:41.23:03,933.5435,964.8325,115.72
328,3.40625,00:34:41.24:00,933.5980000000001,964.831,115.7315
329,3.41667,00:34:41.24:01,933.6575,964.8465,115.7445
330,3.42708,00:34:41.24:02,933.6515,964.862,115.76
331,3.4375,00:34:41.24:03,933.679,964.8625,115.7565
332,3.44792,00:34:42.00:00,933.7360000000001,964.8705,115.7675
333,3.45833,00:34:42.00:01,933.742,964.8525,115.7775
334,3.46875,00:34:42.00:02,933.8275,964.8439999999999,115.7855
335,3.47917,00:34:42.00:03,933.867,964.8105,115.79
336,3.48958,00:34:42.01:00,933.941,964.7825,115.7875
337,3.5,00:34:42.01:01,933.9975,964.7489999999999,115.7865
338,3.51042,00:34:42.01:02,934.0980000000001,964.721,115.7645
339,3.52083,00:34:42.01:03,934.177,964.681,115.735
340,3.53125,00:34:42.02:00,934.2765,964.6669999999999,115.71
341,3.54167,00:34:42.02:01,934.4245,964.6489999999999,115.676
342,3.55208,00:34:42.02:02,934.541,964.6189999999999,115.625
343,3.5625,00:34:42.02:03,934.632,964.637,115.5965
344,3.57292,00:34:42.03:00,934.793,964.6255,115.556
345,3.58333,00:34:42.03:01,934.8555,964.6389999999999,115.5445
346,3.59375,00:34:42.03:02,934.9685,964.648,115.525
347,3.60417,00:34:42.03:03,935.0235,964.673,115.524
348,3.61458,00:34:42.04:00,935.1045,964.7075,115.5185
349,3.625,00:34:42.04:01,935.154,964.7485,115.51799999999999
350,3.63542,00:34:42.04:02,935.2035,964.7775,115.523
351,3.64583,00:34:42.04:03,935.2265,964.8330000000001,115.5335
352,3.65625,00:34:42.05:00,935.2685,964.8695,115.5355
353,3.66667,00:34:42.05:01,935.321,964.9045,115.538
354,3.67708,00:34:42.05:02,935.368,964.9335,115.536
355,3.6875,00:34:42.05:03,935.3919999999999,964.9365,115.531
356,3.69792,00:34:42.06:00,935.445,964.9245,115.5205
357,3.70833,00:34:42.06:01,935.5295,964.923,115.50299999999999
358,3.71875,00:34:42.06:02,935.5975,964.8969999999999,115.4845
359,3.72917,00:34:42.06:03,935.6965,964.87,115.456
360,3.73958,00:34:42.07:00,935.7465,964.8485,115.41799999999999
361,3.75,00:34:42.07:01,935.7915,964.819,115.3955
362,3.76042,00:34:42.07:02,935.8989999999999,964.828,115.359
363,3.77083,00:34:42.07:03,935.9285,964.8095,115.3255
364,3.78125,00:34:42.08:00,935.9689999999999,964.813,115.296
365,3.79167,00:34:42.08:01,936.008,964.817,115.2655
366,3.80208,00:34:42.08:02,936.0615,964.819,115.228
367,3.8125,00:34:42.08:03,936.0755,964.8115,115.189
368,3.82292,00:34:42.09:00,936.169,964.8075,115.154
369,3.83333,00:34:42.09:01,936.1765,964.816,115.1305
370,3.84375,00:34:42.09:02,936.2869999999999,964.808,115.103
371,3.85417,00:34:42.09:03,936.3485,964.8025,115.064
372,3.86458,00:34:42.10:00,936.3875,964.8025,115.0415
373,3.875,00:34:42.10:01,936.459,964.8045,114.99
374,3.88542,00:34:42.10:02,936.5015,964.818,114.964
375,3.89583,00:34:42.10:03,936.5315,964.799,114.927
376,3.90625,00:34:42.11:00,936.596,964.802,114.9015
377,3.91667,00:34:42.11:01,936.637,964.7995,114.852
378,3.92708,00:34:42.11:02,936.674,964.7975,114.81700000000001
379,3.9375,00:34:42.11:03,936.7305,964.794,114.77799999999999
380,3.94792,00:34:42.12:00,936.789,964.806,114.75200000000001
381,3.95833,00:34:42.12:01,936.784,964.8145,114.7315
382,3.96875,00:34:42.12:02,936.7855,964.8125,114.6875
383,3.97917,00:34:42.12:03,936.753,964.822,114.677
384,3.98958,00:34:42.13:00,936.7345,964.8530000000001,114.6575
385,4.0,00:34:42.13:01,936.7385,964.87,114.6345
386,4.01042,00:34:42.13:02,936.7025,964.878,114.6165
387,4.02083,00:34:42.13:03,936.674,964.8895,114.611
388,4.03125,00:34:42.14:00,936.6525,964.8975,114.6
389,4.04167,00:34:42.14:01,936.6695,964.893,114.603
390,4.05208,00:34:42.14:02,936.6425,964.8865,114.60600000000001
391,4.0625,00:34:42.14:03,936.6189999999999,964.887,114.618
392,4.07292,00:34:42.15:00,936.622,964.8765,114.6185
393,4.08333,00:34:42.15:01,936.5675,964.8515,114.62799999999999
394,4.09375,00:34:42.15:02,936.5755,964.8589999999999,114.6405
395,4.10417,00:34:42.15:03,936.5445,964.8565,114.6405
396,4.11458,00:34:42.16:00,936.5095,964.8560000000001,114.635
397,4.125,00:34:42.16:01,936.5175,964.852,114.6325
398,4.13542,00:34:42.16:02,936.462,964.87,114.64299999999999
399,4.14583,00:34:42.16:03,936.471,964.8715,114.649
400,4.15625,00:34:42.17:00,936.4335,964.8735,114.67
401,4.16667,00:34:42.17:01,936.4110000000001,964.872,114.6985
